## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/users/student08/Projet_HPC/results/bowtie2/576/ss_50k_24h_R2_trim_mapped_sorted_q2.bam] OUTPUT=ss_50k_24h_R2_trim_mapped_sorted_q2_nodup.bam METRICS_FILE=ss_50k_24h_R2_trim_mapped_sorted_q2_dups.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 03 10:29:43 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	14774	813762	1144696	0	10098	32944	0	0,046268	9777394

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	757054	757054
2.0	1,92014	18613	18613
3.0	2,766799	2436	2436
4.0	3,545844	983	983
5.0	4,262674	470	470
6.0	4,922259	234	234
7.0	5,52917	115	115
8.0	6,087613	96	96
9.0	6,601459	58	58
10.0	7,07427	35	35
11.0	7,509322	24	24
12.0	7,909631	20	20
13.0	8,277972	12	12
14.0	8,616897	6	6
15.0	8,928756	8	8
16.0	9,21571	2	2
17.0	9,479747	5	5
18.0	9,722699	2	2
19.0	9,946249	4	4
20.0	10,151947	2	2
21.0	10,341217	5	5
22.0	10,515372	2	2
23.0	10,67562	1	1
24.0	10,82307	2	2
25.0	10,958745	0	0
26.0	11,083585	1	1
27.0	11,198455	0	0
28.0	11,304152	0	0
29.0	11,401407	0	0
30.0	11,490897	0	0
31.0	11,573239	0	0
32.0	11,649006	0	0
33.0	11,718722	0	0
34.0	11,78287	0	0
35.0	11,841896	0	0
36.0	11,896208	0	0
37.0	11,946182	1	1
38.0	11,992166	0	0
39.0	12,034477	0	0
40.0	12,07341	0	0
41.0	12,109233	0	0
42.0	12,142195	0	0
43.0	12,172525	0	0
44.0	12,200433	0	0
45.0	12,226113	0	0
46.0	12,249741	0	0
47.0	12,271483	0	0
48.0	12,291488	0	0
49.0	12,309896	0	0
50.0	12,326833	0	0
51.0	12,342418	0	0
52.0	12,356759	0	0
53.0	12,369954	0	0
54.0	12,382095	0	0
55.0	12,393267	0	0
56.0	12,403547	0	0
57.0	12,413005	0	0
58.0	12,421709	0	0
59.0	12,429717	0	0
60.0	12,437086	0	0
61.0	12,443866	0	0
62.0	12,450105	0	0
63.0	12,455845	0	0
64.0	12,461128	0	0
65.0	12,465988	0	0
66.0	12,47046	0	0
67.0	12,474575	0	0
68.0	12,478362	0	0
69.0	12,481846	0	0
70.0	12,485051	0	0
71.0	12,488001	0	0
72.0	12,490715	0	0
73.0	12,493213	0	0
74.0	12,495511	0	0
75.0	12,497625	0	0
76.0	12,499571	0	0
77.0	12,501361	0	0
78.0	12,503008	0	0
79.0	12,504524	0	0
80.0	12,505919	0	0
81.0	12,507202	0	0
82.0	12,508383	0	0
83.0	12,50947	0	0
84.0	12,510469	0	0
85.0	12,511389	0	0
86.0	12,512236	0	0
87.0	12,513015	0	0
88.0	12,513731	0	0
89.0	12,514391	0	0
90.0	12,514997	0	0
91.0	12,515556	0	0
92.0	12,516069	0	0
93.0	12,516542	0	0
94.0	12,516977	0	0
95.0	12,517377	0	0
96.0	12,517746	0	0
97.0	12,518084	0	0
98.0	12,518396	0	0
99.0	12,518683	0	0
100.0	12,518947	0	0

