## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/users/student08/Projet_HPC/results/bowtie2/571/ss_50k_24h_R3_trim_mapped_sorted_q2.bam] OUTPUT=/storage/scratch/student08/655/ss_50k_24h_R3_trim_mapped_marked_sorted.bam METRICS_FILE=/storage/scratch/student08/655/ss_50k_24h_R3_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Oct 31 15:53:33 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	14088	827375	1127073	0	8750	23251	0	0,033108	14443755

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	784758	784758
2.0	1,944327	16266	16266
3.0	2,836081	1486	1486
4.0	3,678189	469	469
5.0	4,473414	223	223
6.0	5,224366	97	97
7.0	5,933511	54	54
8.0	6,603176	38	38
9.0	7,235559	24	24
10.0	7,832735	18	18
11.0	8,396665	5	5
12.0	8,929199	5	5
13.0	9,432086	1	1
14.0	9,906976	5	5
15.0	10,355427	0	0
16.0	10,778911	1	1
17.0	11,178819	0	0
18.0	11,556463	2	2
19.0	11,913083	0	0
20.0	12,249849	0	0
21.0	12,567865	0	0
22.0	12,868177	0	0
23.0	13,15177	0	0
24.0	13,419575	0	0
25.0	13,67247	1	1
26.0	13,911285	0	0
27.0	14,136805	0	0
28.0	14,34977	0	0
29.0	14,550878	0	0
30.0	14,740791	0	0
31.0	14,92013	1	1
32.0	15,089485	0	0
33.0	15,249411	0	0
34.0	15,400434	0	0
35.0	15,543049	0	0
36.0	15,677724	0	0
37.0	15,804902	0	0
38.0	15,924999	0	0
39.0	16,03841	0	0
40.0	16,145507	0	0
41.0	16,246642	0	0
42.0	16,342146	0	0
43.0	16,432333	0	0
44.0	16,5175	0	0
45.0	16,597925	0	0
46.0	16,673872	0	0
47.0	16,745591	0	0
48.0	16,813318	0	0
49.0	16,877273	0	0
50.0	16,937669	0	0
51.0	16,994702	0	0
52.0	17,048559	0	0
53.0	17,099419	0	0
54.0	17,147446	0	0
55.0	17,1928	0	0
56.0	17,235629	0	0
57.0	17,276074	0	0
58.0	17,314267	0	0
59.0	17,350334	0	0
60.0	17,384392	0	0
61.0	17,416555	0	0
62.0	17,446927	0	0
63.0	17,475608	0	0
64.0	17,502692	0	0
65.0	17,528269	0	0
66.0	17,552421	0	0
67.0	17,575229	0	0
68.0	17,596767	0	0
69.0	17,617106	0	0
70.0	17,636313	0	0
71.0	17,65445	0	0
72.0	17,671578	0	0
73.0	17,687752	0	0
74.0	17,703026	0	0
75.0	17,717449	0	0
76.0	17,731069	0	0
77.0	17,743932	0	0
78.0	17,756078	0	0
79.0	17,767547	0	0
80.0	17,778379	0	0
81.0	17,788607	0	0
82.0	17,798266	0	0
83.0	17,807387	0	0
84.0	17,816	0	0
85.0	17,824134	0	0
86.0	17,831815	0	0
87.0	17,839068	0	0
88.0	17,845917	0	0
89.0	17,852386	0	0
90.0	17,858494	0	0
91.0	17,864262	0	0
92.0	17,869709	0	0
93.0	17,874852	0	0
94.0	17,879709	0	0
95.0	17,884296	0	0
96.0	17,888628	0	0
97.0	17,892718	0	0
98.0	17,896581	0	0
99.0	17,900228	0	0
100.0	17,903673	0	0

