## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/users/student08/Projet_HPC/results/bowtie2/572/ss_50k_0h_R1_trim_mapped_sorted_q2.bam] OUTPUT=/storage/scratch/student08/656/ss_50k_0h_R1_trim_mapped_marked_sorted.bam METRICS_FILE=/storage/scratch/student08/656/ss_50k_0h_R1_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Oct 31 15:53:33 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	23159	733082	944267	0	20059	96294	0	0,142781	2540339

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	592651	592651
2.0	1,74933	26531	26531
3.0	2,310824	7174	7174
4.0	2,731569	3493	3493
5.0	3,046845	2096	2096
6.0	3,283091	1231	1231
7.0	3,460117	818	818
8.0	3,592768	573	573
9.0	3,692167	419	419
10.0	3,76665	264	264
11.0	3,822462	223	223
12.0	3,864283	163	163
13.0	3,895622	120	120
14.0	3,919104	111	111
15.0	3,936701	81	81
16.0	3,949886	65	65
17.0	3,959766	39	39
18.0	3,96717	31	31
19.0	3,972717	34	34
20.0	3,976874	21	21
21.0	3,979989	27	27
22.0	3,982324	18	18
23.0	3,984073	17	17
24.0	3,985383	10	10
25.0	3,986365	13	13
26.0	3,987101	18	18
27.0	3,987653	11	11
28.0	3,988066	7	7
29.0	3,988375	4	4
30.0	3,988607	5	5
31.0	3,988781	7	7
32.0	3,988912	3	3
33.0	3,989009	1	1
34.0	3,989082	3	3
35.0	3,989137	3	3
36.0	3,989178	1	1
37.0	3,989209	4	4
38.0	3,989232	1	1
39.0	3,989249	2	2
40.0	3,989262	2	2
41.0	3,989272	0	0
42.0	3,989279	1	1
43.0	3,989285	0	0
44.0	3,989289	1	1
45.0	3,989292	1	1
46.0	3,989294	1	1
47.0	3,989296	1	1
48.0	3,989297	1	1
49.0	3,989298	0	0
50.0	3,989299	0	0
51.0	3,989299	1	1
52.0	3,9893	1	1
53.0	3,9893	0	0
54.0	3,9893	0	0
55.0	3,9893	0	0
56.0	3,989301	1	1
57.0	3,989301	2	2
58.0	3,989301	1	1
59.0	3,989301	0	0
60.0	3,989301	0	0
61.0	3,989301	1	1
62.0	3,989301	0	0
63.0	3,989301	0	0
64.0	3,989301	0	0
65.0	3,989301	0	0
66.0	3,989301	0	0
67.0	3,989301	0	0
68.0	3,989301	0	0
69.0	3,989301	0	0
70.0	3,989301	0	0
71.0	3,989301	0	0
72.0	3,989301	0	0
73.0	3,989301	0	0
74.0	3,989301	0	0
75.0	3,989301	0	0
76.0	3,989301	0	0
77.0	3,989301	0	0
78.0	3,989301	0	0
79.0	3,989301	0	0
80.0	3,989301	0	0
81.0	3,989301	0	0
82.0	3,989301	0	0
83.0	3,989301	0	0
84.0	3,989301	0	0
85.0	3,989301	0	0
86.0	3,989301	0	0
87.0	3,989301	0	0
88.0	3,989301	0	0
89.0	3,989301	0	0
90.0	3,989301	0	0
91.0	3,989301	0	0
92.0	3,989301	0	0
93.0	3,989301	0	0
94.0	3,989301	0	0
95.0	3,989301	0	0
96.0	3,989301	0	0
97.0	3,989301	0	0
98.0	3,989301	0	0
99.0	3,989301	0	0
100.0	3,989301	0	0

