## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/users/student08/Projet_HPC/results/bowtie2/573/ss_50k_0h_R2_trim_mapped_sorted_q2.bam] OUTPUT=ss_50k_0h_R2_trim_mapped_sorted_q2_nodup.bam METRICS_FILE=ss_50k_0h_R2_trim_mapped_sorted_q2_dups.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 03 10:29:43 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	22289	720145	901183	0	19471	105181	0	0,157142	2218919

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	569610	569610
2.0	1,722854	26297	26297
3.0	2,245372	7554	7554
4.0	2,623077	3842	3842
5.0	2,896102	2170	2170
6.0	3,09346	1361	1361
7.0	3,236121	929	929
8.0	3,339243	629	629
9.0	3,413786	432	432
10.0	3,46767	356	356
11.0	3,50662	261	261
12.0	3,534775	203	203
13.0	3,555127	145	145
14.0	3,569839	130	130
15.0	3,580473	98	98
16.0	3,58816	69	69
17.0	3,593717	62	62
18.0	3,597733	44	44
19.0	3,600637	36	36
20.0	3,602736	34	34
21.0	3,604253	41	41
22.0	3,605349	27	27
23.0	3,606142	19	19
24.0	3,606715	20	20
25.0	3,607129	9	9
26.0	3,607429	12	12
27.0	3,607645	10	10
28.0	3,607802	8	8
29.0	3,607915	7	7
30.0	3,607996	9	9
31.0	3,608055	7	7
32.0	3,608098	6	6
33.0	3,608129	3	3
34.0	3,608151	3	3
35.0	3,608168	4	4
36.0	3,608179	4	4
37.0	3,608188	3	3
38.0	3,608194	3	3
39.0	3,608198	3	3
40.0	3,608201	5	5
41.0	3,608204	5	5
42.0	3,608205	3	3
43.0	3,608206	3	3
44.0	3,608207	2	2
45.0	3,608208	3	3
46.0	3,608208	1	1
47.0	3,608209	2	2
48.0	3,608209	0	0
49.0	3,608209	0	0
50.0	3,608209	1	1
51.0	3,608209	0	0
52.0	3,608209	0	0
53.0	3,608209	1	1
54.0	3,608209	0	0
55.0	3,60821	3	3
56.0	3,60821	0	0
57.0	3,60821	0	0
58.0	3,60821	2	2
59.0	3,60821	0	0
60.0	3,60821	0	0
61.0	3,60821	0	0
62.0	3,60821	0	0
63.0	3,60821	2	2
64.0	3,60821	0	0
65.0	3,60821	0	0
66.0	3,60821	0	0
67.0	3,60821	0	0
68.0	3,60821	0	0
69.0	3,60821	0	0
70.0	3,60821	0	0
71.0	3,60821	0	0
72.0	3,60821	0	0
73.0	3,60821	0	0
74.0	3,60821	0	0
75.0	3,60821	0	0
76.0	3,60821	0	0
77.0	3,60821	0	0
78.0	3,60821	0	0
79.0	3,60821	0	0
80.0	3,60821	0	0
81.0	3,60821	0	0
82.0	3,60821	0	0
83.0	3,60821	0	0
84.0	3,60821	0	0
85.0	3,60821	0	0
86.0	3,60821	0	0
87.0	3,60821	0	0
88.0	3,60821	0	0
89.0	3,60821	0	0
90.0	3,60821	0	0
91.0	3,60821	0	0
92.0	3,60821	0	0
93.0	3,60821	0	0
94.0	3,60821	0	0
95.0	3,60821	0	0
96.0	3,60821	0	0
97.0	3,60821	0	0
98.0	3,60821	0	0
99.0	3,60821	0	0
100.0	3,60821	0	0

